mine_id,state,mine_type,contractor,year,accident_category,fatal
2GQ,,metal_nonmetal,False,2023,Powered Haulage,False
5DL,UT,metal_nonmetal,False,2023,Fire,False
8SK,ME,metal_nonmetal,False,2023,Powered Haulage,False
A01,AL,metal_nonmetal,False,2023,Explosives and Breaking Agents,False
A1727,,metal_nonmetal,False,2023,Electrical,False
A5566,ME,metal_nonmetal,False,2023,Fire,False
A5566,,metal_nonmetal,False,2023,Entrapment,False
A5566,UT,metal_nonmetal,False,2023,Slip or Fall of Person,False
A5566,UT,metal_nonmetal,False,2023,Fire,False
A5566,UT,metal_nonmetal,False,2023,Slip or Fall of Person,False
A5566,FL,metal_nonmetal,False,2023,Powered Haulage,False
A5566,UT,metal_nonmetal,False,2023,Entrapment,False
A5566,,metal_nonmetal,False,2023,Fire,False
A5566,UT,metal_nonmetal,False,2023,Slip or Fall of Person,False
A7147,,metal_nonmetal,False,2023,Entrapment,True
A7171,UT,metal_nonmetal,False,2023,Slip or Fall of Person,False
A8085,UT,metal_nonmetal,False,2023,Slip or Fall of Person,False
A8664,FL,metal_nonmetal,False,2023,Explosives and Breaking Agents,False
A8972,,metal_nonmetal,False,2023,Falling / Rolling / Sliding Rock or Material,False
A9377,,metal_nonmetal,False,2023,Falling / Rolling / Sliding Rock or Material,False
B0034,UT,metal_nonmetal,False,2023,Fire,False
B0034,,metal_nonmetal,False,2023,Explosives and Breaking Agents,False
B0034,UT,metal_nonmetal,False,2023,Explosives and Breaking Agents,False
B0424,FL,metal_nonmetal,False,2023,Fall of Roof or Back,False
B0424,NY,metal_nonmetal,False,2023,Slip or Fall of Person,False
B0424,NY,metal_nonmetal,False,2023,Other,False
B0583,ME,metal_nonmetal,False,2023,Slip or Fall of Person,False
B3450,,metal_nonmetal,False,2023,Fire,False
B3450,AL,metal_nonmetal,False,2023,Fire,False
B3450,UT,metal_nonmetal,False,2023,Fire,False
B3450,AL,metal_nonmetal,False,2023,Fire,False
B4028,ME,metal_nonmetal,False,2023,Fire,False
B4028,ME,metal_nonmetal,False,2023,Fire,False
B4028,ME,metal_nonmetal,False,2023,Falling / Rolling / Sliding Rock or Material,False
B4028,ME,metal_nonmetal,False,2023,Slip or Fall of Person,False
B4839,,metal_nonmetal,False,2023,Entrapment,False
B5222,UT,metal_nonmetal,False,2023,Machinery,False
B5227,,metal_nonmetal,False,2023,Slip or Fall of Person,False
B5799,,metal_nonmetal,False,2023,"Fall of Face, Rib, Side or Highwall",False
B7166,,metal_nonmetal,False,2023,Powered Haulage,False
B7523,,metal_nonmetal,False,2023,Fire,False
B7529,,metal_nonmetal,False,2023,"Fall of Face, Rib, Side or Highwall",False
B8095,ME,metal_nonmetal,False,2023,Falling / Rolling / Sliding Rock or Material,False
B84,AL,metal_nonmetal,False,2023,Slip or Fall of Person,False
B84,AL,metal_nonmetal,False,2023,Falling / Rolling / Sliding Rock or Material,False
B9564,CA,metal_nonmetal,False,2023,Stepping or Kneeling on Object,False
BZ5,,metal_nonmetal,False,2023,Stepping or Kneeling on Object,False
C1216,FL,metal_nonmetal,False,2023,Stepping or Kneeling on Object,False
C1216,FL,metal_nonmetal,False,2023,Entrapment,False
C1216,FL,metal_nonmetal,False,2023,Fire,False
C1216,FL,metal_nonmetal,False,2023,Stepping or Kneeling on Object,False
C1216,FL,metal_nonmetal,False,2023,Fire,False
C1560,SD,metal_nonmetal,False,2023,Falling / Rolling / Sliding Rock or Material,False
C1845,MN,metal_nonmetal,False,2023,Electrical,False
C1845,MN,metal_nonmetal,False,2023,Fire,False
C19,,metal_nonmetal,False,2023,Other,False
C19,,metal_nonmetal,False,2023,Fire,False
C19,,metal_nonmetal,False,2023,Electrical,False
C19,,metal_nonmetal,False,2023,Fire,False
C2627,,metal_nonmetal,False,2023,Slip or Fall of Person,False
C2627,,metal_nonmetal,False,2023,Falling / Rolling / Sliding Rock or Material,False
C2627,,metal_nonmetal,False,2023,Fire,False
C2627,,metal_nonmetal,False,2023,Explosives and Breaking Agents,False
C2627,,metal_nonmetal,False,2023,Fire,False
C2627,,metal_nonmetal,False,2023,Electrical,False
C2627,,metal_nonmetal,False,2023,Stepping or Kneeling on Object,False
C2627,,metal_nonmetal,False,2023,Electrical,False
C3662,,metal_nonmetal,False,2023,Slip or Fall of Person,False
C3662,,metal_nonmetal,False,2023,Explosives and Breaking Agents,False
C3953,MD,metal_nonmetal,False,2023,Explosives and Breaking Agents,True
C5042,FL,metal_nonmetal,False,2023,Powered Haulage,False
C5098,MN,metal_nonmetal,False,2023,Machinery,False
C5390,UT,metal_nonmetal,False,2023,Fire,False
C5402,MN,metal_nonmetal,False,2023,Fire,True
C858,,metal_nonmetal,False,2023,Stepping or Kneeling on Object,False
CV6,UT,metal_nonmetal,False,2023,Powered Haulage,False
D3H,,metal_nonmetal,False,2023,Stepping or Kneeling on Object,False
D479,MN,metal_nonmetal,False,2023,Explosives and Breaking Agents,False
D4E,UT,metal_nonmetal,False,2023,Explosives and Breaking Agents,False
